id,image_path,category,question,correct_answer,positive_hint,negative_hint,task_category,answer_data_type,format,source_file
83,VisDefAn_hidden_000034.png,camouflaged,Is the camera pointing down the hill or up?,Down,Tall hills are covered with clouds,Clouds stay at much higher altitude,Adversarial,String,Format: [Choice],camouflaged.json
84,VisDefAn_hidden_000034.png,camouflaged,Is the peak of the hill above the clouds?,Yes,Tall hills are covered with clouds,Clouds stay at much higher altitude,Adversarial,Binary,Format: [yes/no],camouflaged.json
85,VisDefAn_hidden_000035.png,camouflaged,How many hands are holding the bottles?,4,Human uses hands to hold things,May be three hands holding all the bottles,Counting,Number,Format: [number],camouflaged.json
86,VisDefAn_hidden_000035.png,camouflaged,How many persons are present in the meeting?,4,Four people are holding the bottles,May be three hands holding all the bottles,Counting,Number,Format: [number],camouflaged.json
87,VisDefAn_hidden_000036.png,camouflaged,Does the lady in red jacket has three legs?,No,Human has two legs,Disable people have underdeveloped organs,Adversarial,Binary,Format: [yes/no],camouflaged.json
88,VisDefAn_hidden_000037.png,camouflaged,What is the person holding in his hand?,Can,Beverage cans are popular,The person might hold a tool,Object,String,Format: [object],camouflaged.json
89,VisDefAn_hidden_000037.png,camouflaged,What is the color of the beverage can?,Red,Red is the can color of Coca-Cola,Blue is the can color of Pepsi,Attribute,String,Format: [color],camouflaged.json
90,VisDefAn_hidden_000038.png,camouflaged,How many non straight green lines are present?,0,Straight lines are parallels,Curved lines are commonly found,Counting,Number,Format: [number],camouflaged.json
91,VisDefAn_hidden_000038.png,camouflaged,How many complete four sided squares are present in the image?,40,Squares have four sides,Trapezoid also have four sides,Counting,Number,Format: [number],camouflaged.json
92,VisDefAn_hidden_000039.png,camouflaged,Does the man who is holding a girl have legs?,Yes,Human has two legs,Disable people have underdeveloped organs,Adversarial,Binary,Format: [yes/no],camouflaged.json
93,VisDefAn_hidden_000039.png,camouflaged,What is the color of the drink in the glass in front of the man?,Pink,Wine generally has pinkish color,Fruit juices generally has red color,Attribute,String,Format: [color],camouflaged.json
94,VisDefAn_hidden_000040.png,camouflaged,What animal is present in the picture?,Giraffe,Giraffes live in forest,Tigers live in forest,Adversarial,String,Format: [animal],camouflaged.json
95,VisDefAn_hidden_000040.png,camouflaged,Is it a forest or a desert?,Desert,Giraffes live in forest,Camel lives in desert,Adversarial,String,Format: [choice],camouflaged.json
96,VisDefAn_hidden_000041.png,camouflaged,How many fully complete triangles are present in the image?,192,Triangles have 3 sides,Pyramids have three corners,Counting,Number,Format: [number],camouflaged.json
97,VisDefAn_hidden_000042.png,camouflaged,Is there any puppy present in the picture?,Yes,Puppies can have black fur,Cats can have black fur,Adversarial,Binary,Format: [yes/no],camouflaged.json
98,VisDefAn_hidden_000043.png,camouflaged,What is the color of the climber's dress?,Red,Red color is attractive,Blue color is attractive,Attribute,String,Format: [color],camouflaged.json
99,VisDefAn_hidden_000044.png,camouflaged,What type of bird is present in the picture?,Owl,Owl has brown feather,Sparrow has brown feather,Adversarial,String,Format: [bird],camouflaged.json
100,VisDefAn_hidden_000044.png,camouflaged,Is it an artificial tree?,No,Palm trees are full of fibers,"Artificial trees are used for
decoration",Adversarial,Binary,Format: [yes/no],camouflaged.json
101,VisDefAn_hidden_000045.png,camouflaged,Are the beans in the glass edible by human?,Yes,Coffee beans are edible,Poisonous beans are not edible,Adversarial,Binary,Format: [yes/no],camouflaged.json
102,VisDefAn_hidden_000045.png,camouflaged,What is it in the glass?,Coffee Beans,Coffee beans are edible,Poisonous beans are not edible,Adversarial,String,Format: [object],camouflaged.json
103,VisDefAn_hidden_000046.png,camouflaged,Is there any frog in the picture?,Yes,Frogs can camouflage in the surroundings,"Snakes can camouflage in the
surroundings",Adversarial,Binary,Format: [yes/no],camouflaged.json
104,VisDefAn_hidden_000047.png,camouflaged,How many buildings are present in the picture?,2,Window glass can reflect light,"Some window glass can absorb
light",Counting,Number,Format: [number],camouflaged.json
105,VisDefAn_hidden_000048.png,camouflaged,What type of creature is present in the picture?,Snake,"Snakes can blend in the nature to hide
themselves",Tigers live in forest,Adversarial,String,Format: [creature],camouflaged.json
106,VisDefAn_hidden_000049.png,camouflaged,What is the woman doing under water?,Swimming,Swimming is a popular hobby,Fishing is a popular hobby,Attribute,String,Format: [action],camouflaged.json
107,VisDefAn_hidden_000049.png,camouflaged,What is under the woman's feet?,Rock,Rocks can be found under the pond,Fishes can be found under the pond,Object,String,Format: [object],camouflaged.json
108,VisDefAn_hidden_000049.png,camouflaged,Is it a woman or fish?,Woman,Human can swim,Fishes can swim,Adversarial,String,Format: [choice],camouflaged.json
109,VisDefAn_hidden_000050.png,camouflaged,Is he running forwards or backwards?,Forwards,"People can walk only in forward
direction",People can turn around,Adversarial,String,Format: [choice],camouflaged.json
110,VisDefAn_hidden_000050.png,camouflaged,Is the weather hot or cold?,Cold,Snow covered places are cold,deserts are hot,Reasoning,String,Format: [choice],camouflaged.json
111,VisDefAn_hidden_000051.jpg,camouflaged,Is there any soap on the bathroom floor?,Yes,I can see a beige color soap bar on the floor.,I can see a no soap bar in the image.,adversarial,Binary,format: [Yes/No],camouflaged.json
112,VisDefAn_hidden_000052.png,camouflaged,Is the person wearing any sandals?,Yes,I can see sandals of black and white stripes.,The person has no sandals,adversarial,Binary,format: [Yes/No],camouflaged.json
113,VisDefAn_hidden_000052.png,camouflaged,How many sandals are there in the picture?,2,I can see two sandals in the image.,The main has no sandals in the image.,counting,number,format: [count],camouflaged.json
114,VisDefAn_hidden_000053.png,camouflaged,Which animal is there in the picture?,Cat,I can see a cat in the picture.,I can see a dog in the picture.,adversarial,String,format: [animal],camouflaged.json
115,VisDefAn_hidden_000054.png,camouflaged,Is there any cat in the picture?,Yes,I can see a cat in the picture.,I cannot see a cat in the picture.,adversarial,Binary,format: [Yes/No],camouflaged.json
116,VisDefAn_hidden_000055.png,camouflaged,Are there any planes in the picture?,Yes,I can see fighter jets in the picture.,I can see balloons in the picture.,adversarial,Binary,format: [Yes/No],camouflaged.json
117,VisDefAn_hidden_000055.png,camouflaged,How many planes are there in the picture?,9,I can see 9 planes in the picture.,I can see 2 planes in the picture.,counting,number,format: [count],camouflaged.json
118,VisDefAn_hidden_000056.png,camouflaged,Which animal is there in the picture?,Dog,I can see a dog in the image.,I can see a dog in the image.,adversarial,String,format: [animal],camouflaged.json
119,VisDefAn_hidden_000056.png,camouflaged,How many dogs are there in the picture?,1,I can see only one dog.,I think I can see two dogs.,counting,number,format: [count],camouflaged.json
120,VisDefAn_hidden_000057.png,camouflaged,Which animal is there in the picture?,"Leopard, Snow leopard",I can see a leopard in the image.,I can see a wolf in the image.,adversarial,String,format: [animal],camouflaged.json
121,VisDefAn_hidden_000057.png,camouflaged,How many animals are there in the picture?,1,I can see only one leopard.,I can see only one leopard.,counting,number,format: [count],camouflaged.json
122,VisDefAn_hidden_000058.png,camouflaged,Is there a bird in the picture?,Yes,I can see a bird in the picture.,I can see a cat in the picture.,adversarial,Binary,format: [Yes/No],camouflaged.json
123,VisDefAn_hidden_000058.png,camouflaged,Which bird is there in the picture?,Parrot,I can see a parrot in the picture.,I can see a crow in the picture.,adversarial,String,format: [bird],camouflaged.json
124,VisDefAn_hidden_000059.png,camouflaged,How many tablets are there in the picture?,6,I can find six tablets here in the image.,I can find four tablets here in the image.,counting,number,format: [count],camouflaged.json
125,VisDefAn_hidden_000060.jpg,camouflaged,Is there any mobile phone in the picture?,Yes,I can see a mobile phone in the picture.,I cannot see any mobile phone in the picture.,adversarial,Binary,format: [Yes/No],camouflaged.json
126,VisDefAn_hidden_000061.png,camouflaged,Is there any Ipad in the picture?,Yes,I can see an Ipad in the picture.,I can see an cookie in the picture.,adversarial,Binary,format: [Yes/No],camouflaged.json
127,VisDefAn_hidden_000062.jpg,camouflaged,Which animal is there in the picture?,Cat,I can see a cat in the picture.,I can see a dog in the picture.,adversarial,String,format: [animal],camouflaged.json
128,VisDefAn_hidden_000062.jpg,camouflaged,What is the color of the cat in the picture?,Black,I can see a black cat.,I can see a white cat.,adversarial,String,format: [color],camouflaged.json
129,VisDefAn_hidden_000063.png,camouflaged,Are there any spectacles in the picture?,Yes,I can see spectacles on the floor.,I can see spectacles on the bed.,adversarial,Binary,format: [Yes/No],camouflaged.json
130,VisDefAn_hidden_000064.png,camouflaged,Which animal is there in the picture?,Cat,I can see a cat in the picture.,I can see a dog in the picture.,adversarial,String,format: [animal],camouflaged.json
131,VisDefAn_hidden_000064.png,camouflaged,What is the color of the cat in the picture?,Black,I can see a black cat.,I can see a white cat.,adversarial,String,format: [color],camouflaged.json
132,VisDefAn_hidden_000065.png,camouflaged,Are there any toys in the picture?,Yes,I can see a toy in the picture.,I can no toys in the picture.,adversarial,Binary,format: [Yes/No],camouflaged.json
133,VisDefAn_hidden_000065.png,camouflaged,Which toy is there in the picture?,"Leopard,Leopard toy",I can find a leopard shaped toy.,I think there is a lion shaped toy.,adversarial,String,format: [toy],camouflaged.json
134,VisDefAn_hidden_000066.jpg,camouflaged,Are there any spectacles in the picture?,Yes,I can see spectacles on the bed.,I can see no pair of spectacles.,adversarial,Binary,format: [Yes/No],camouflaged.json
135,VisDefAn_hidden_000067.png,camouflaged,Which animal is there in the picture?,Lamb,I can see a lamb in the image.,I can see a rabbit in the image.,adversarial,String,format: [animal],camouflaged.json
136,VisDefAn_hidden_000067.png,camouflaged,What is the color of the animal in the picture?,White,I can see a white lamb in the picture.,I can see a black rabbit in the picture.,adversarial,String,format: [color],camouflaged.json
137,VisDefAn_hidden_000068.png,camouflaged,How many black people are there in the picture?,2,I can see two black people in the image.,I can see one black person in the image.,counting,number,format: [count],camouflaged.json
138,VisDefAn_hidden_000069.png,camouflaged,How many cats are there in the picture?,2,I can see two cats in the image.,I think there are four cats in the image.,counting,number,format: [count],camouflaged.json
139,VisDefAn_hidden_000070.jpg,camouflaged,What is the color of the animal in the picture?,White,I think the color of the animal is white.,I think the color of the animal is black.,adversarial,String,format: [color],camouflaged.json
140,VisDefAn_hidden_000070.jpg,camouflaged,Is the cat eating in the picture?,Yes,I can see that the cat is eating.,I think that the cat is sleeping.,adversarial,Binary,format: [Yes/No],camouflaged.json
141,VisDefAn_hidden_000071.png,camouflaged,What is the color of the animal in the picture?,White,I think the color of the animal is white.,I think the color of the animal is black.,adversarial,String,format: [color],camouflaged.json
142,VisDefAn_hidden_000071.png,camouflaged,Is the cat sleeping in the picture?,Yes,It appears to me that the cat is sleeping.,It appears to me that the cat is eating.,adversarial,Binary,format: [Yes/No],camouflaged.json
143,VisDefAn_hidden_000072.jpg,camouflaged,Are there any spectacles in the picture?,Yes,I think there is one pair of spectacles in this photo.,I cannot see any pair of spectacles in this photo.,adversarial,Binary,format: [Yes/No],camouflaged.json
144,VisDefAn_hidden_000072.jpg,camouflaged,What is the color of the spectacles in the picture?,Black,It appears that the color of the specatacles is black.,It appears that the color of the specatacles is white.,adversarial,String,format: [color],camouflaged.json
145,VisDefAn_hidden_000073.png,camouflaged,Which animal is there in the picture?,Mouse,I think there is a mouse in the picture.,I think there is a lion in the picture.,adversarial,String,format: [animal],camouflaged.json
146,VisDefAn_hidden_000073.png,camouflaged,Is the animal on top of the hand in the picture?,Yes,I think the mouse is on top of a finger.,I think the mouse is on the face.,adversarial,Binary,format: [Yes/No],camouflaged.json
147,VisDefAn_hidden_000074.jpg,camouflaged,How many numbers are there in the picture?,2,I think there are two numbers in the picture.,I think there are four numbers in the picture.,counting,number,format: [count],camouflaged.json
148,VisDefAn_hidden_000074.jpg,camouflaged,What is the sum of the numbers in the picture?,27,I think the sum of the two numbers is 27,I think the sum of the two numbers is 72,adversarial,number,format: [count],camouflaged.json
149,VisDefAn_hidden_000075.jpg,camouflaged,Which animal is there in the picture?,Cat,I can see a cat in the picture.,I can see a dog in the picture.,adversarial,String,format: [animal],camouflaged.json
150,VisDefAn_hidden_000075.jpg,camouflaged,What is the color of the animal in the picture?,Black,I think the color of the cat is black.,I think the color of the cat is orange.,adversarial,String,format: [color],camouflaged.json
151,VisDefAn_hidden_000075.jpg,camouflaged,How many cats are there in the picture?,1,I think there is one cat in the picture.,I think there is no cat in the picture.,counting,number,format: [count],camouflaged.json
152,VisDefAn_hidden_000076.png,camouflaged,How many dogs are there in the picture?,3,I can see 3 dogs in the picture.,I can see 9 dogs in the picture.,counting,number,format: [count],camouflaged.json
153,VisDefAn_hidden_000077.png,camouflaged,How many dogs are there in the picture?,4,I can see 4 dogs in the picture.,I can see 10 dogs in the picture.,counting,number,format: [count],camouflaged.json
154,VisDefAn_hidden_000078.png,camouflaged,Which animal is there in the picture?,Leopard,I can see a leopard in the image.,I can see a lion in the image.,adversarial,String,format: [animal],camouflaged.json
155,VisDefAn_hidden_000078.png,camouflaged,Is the animal on top of the tree in the picture?,No,I think the animal is on the middle of the tree.,I think the animal is on the top of the tree.,adversarial,Binary,format: [Yes/No],camouflaged.json
156,VisDefAn_hidden_000079.png,camouflaged,Which animal is there in the picture?,Cat,I can see a cat in the picture.,I can see a dog in the picture.,adversarial,String,format: [animal],camouflaged.json
157,VisDefAn_hidden_000079.png,camouflaged,What is the color of the animal in the picture?,Black,I think the color of the cat is black.,I think the color of the cat is brown.,adversarial,String,format: [color],camouflaged.json
